Country Name,Country Code,2015,2016,2017,2018,2019,2020
Aruba,ABW,104257.0,104874.0,105439.0,105962.0,106442.0,106585.0
Africa Eastern and Southern,AFE,600008424.0,616377605.0,632746570.0,649757148.0,667242986.0,685112979.0
Afghanistan,AFG,33753499.0,34636207.0,35643418.0,36686784.0,37769499.0,38972230.0
Africa Western and Central,AFW,408690375.0,419778384.0,431138704.0,442646825.0,454306063.0,466189102.0
Angola,AGO,28127721.0,29154746.0,30208628.0,31273533.0,32353588.0,33428486.0
Albania,ALB,2880703.0,2876101.0,2873457.0,2866376.0,2854191.0,2837849.0
Andorra,AND,71746.0,72540.0,73837.0,75013.0,76343.0,77700.0
Arab World,ARB,406501999.0,415077960.0,423664839.0,432545676.0,441467739.0,449228296.0
United Arab Emirates,ARE,8916899.0,8994263.0,9068296.0,9140169.0,9211657.0,9287289.0
Argentina,ARG,43131966.0,43590368.0,44044811.0,44494502.0,44938712.0,45376763.0
Armenia,ARM,2878595.0,2865835.0,2851923.0,2836557.0,2820602.0,2805608.0
American Samoa,ASM,51368.0,50448.0,49463.0,48424.0,47321.0,46189.0
Antigua and Barbuda,ATG,89941.0,90564.0,91119.0,91626.0,92117.0,92664.0
Australia,AUS,23815995.0,24190907.0,24592588.0,24963258.0,25334826.0,25649248.0
Austria,AUT,8642699.0,8736668.0,8797566.0,8840521.0,8879920.0,8916864.0
Azerbaijan,AZE,9649341.0,9757812.0,9854033.0,9939771.0,10024283.0,10093121.0
Burundi,BDI,10727148.0,10903327.0,11155593.0,11493472.0,11874838.0,12220227.0
Belgium,BEL,11274196.0,11331422.0,11375158.0,11427054.0,11488980.0,11538604.0
Benin,BEN,10932783.0,11260085.0,11596779.0,11940683.0,12290444.0,12643123.0
Burkina Faso,BFA,18718019.0,19275498.0,19835858.0,20392723.0,20951639.0,21522626.0
Bangladesh,BGD,157830000.0,159784568.0,161793964.0,163683958.0,165516222.0,167420951.0
Bulgaria,BGR,7177991.0,7127822.0,7075947.0,7025037.0,6975761.0,6934015.0
Bahrain,BHR,1362142.0,1409661.0,1456834.0,1487340.0,1494188.0,1477469.0
"Bahamas, The",BHS,392697.0,395976.0,399020.0,401906.0,404557.0,406471.0
Bosnia and Herzegovina,BIH,3524324.0,3480986.0,3440027.0,3400129.0,3360711.0,3318407.0
Belarus,BLR,9461076.0,9469379.0,9458989.0,9438785.0,9419758.0,9379952.0
Belize,BLZ,359871.0,367313.0,374693.0,382066.0,389095.0,394921.0
Bermuda,BMU,65237.0,64554.0,63873.0,63918.0,63911.0,63893.0
Bolivia,BOL,11090085.0,11263015.0,11435533.0,11606905.0,11777315.0,11936162.0
Brazil,BRA,205188205.0,206859578.0,208504960.0,210166592.0,211782878.0,213196304.0
Barbados,BRB,278083.0,278649.0,279187.0,279688.0,280180.0,280693.0
Brunei Darussalam,BRN,421437.0,425994.0,430276.0,434274.0,438048.0,441725.0
Bhutan,BTN,743274.0,749761.0,756121.0,762096.0,767459.0,772506.0
Botswana,BWA,2305171.0,2352416.0,2401840.0,2451409.0,2499702.0,2546402.0
Central African Republic,CAF,4819333.0,4904177.0,4996741.0,5094780.0,5209324.0,5343020.0
Canada,CAN,35704498.0,36110803.0,36545075.0,37072620.0,37618495.0,38028638.0
Central Europe and the Baltics,CEB,103257886.0,102994278.0,102740078.0,102538451.0,102398537.0,102180124.0
Switzerland,CHE,8282396.0,8373338.0,8451840.0,8514329.0,8575280.0,8638167.0
Channel Islands,CHI,162190.0,163721.0,165215.0,167259.0,169410.0,171113.0
Chile,CHL,17870124.0,18083879.0,18368577.0,18701450.0,19039485.0,19300315.0
China,CHN,1379860000.0,1387790000.0,1396215000.0,1402760000.0,1407745000.0,1411100000.0
Cote d'Ivoire,CIV,23596741.0,24213622.0,24848016.0,25493988.0,26147551.0,26811790.0
Cameroon,CMR,23012646.0,23711630.0,24393181.0,25076747.0,25782341.0,26491087.0
"Congo, Dem. Rep.",COD,78656904.0,81430977.0,84283273.0,87087355.0,89906890.0,92853164.0
"Congo, Rep.",COG,5064386.0,5186824.0,5312340.0,5441062.0,5570733.0,5702174.0
Colombia,COL,47119728.0,47625955.0,48351671.0,49276961.0,50187406.0,50930662.0
Comoros,COM,730216.0,746232.0,761664.0,776313.0,790986.0,806166.0
Cabo Verde,CPV,552166.0,558394.0,564954.0,571202.0,577030.0,582640.0
Costa Rica,CRI,4895242.0,4945205.0,4993842.0,5040734.0,5084532.0,5123105.0
Caribbean small states,CSS,2969980.0,2993247.0,3016651.0,3058106.0,3090374.0,3106185.0
Cuba,CUB,11339894.0,11342012.0,11336405.0,11328244.0,11316697.0,11300698.0
Curacao,CUW,157980.0,159664.0,160175.0,159336.0,157441.0,154947.0
Cayman Islands,CYM,60911.0,62255.0,63581.0,64884.0,66134.0,67311.0
Cyprus,CYP,1187280.0,1197881.0,1208523.0,1218831.0,1228836.0,1237537.0
Czechia,CZE,10546059.0,10566332.0,10594438.0,10629928.0,10671870.0,10697858.0
Germany,DEU,81686611.0,82348669.0,82657002.0,82905782.0,83092962.0,83160871.0
Djibouti,DJI,1006259.0,1023261.0,1040233.0,1057198.0,1073994.0,1090156.0
Dominica,DMA,70007.0,70075.0,70403.0,70823.0,71428.0,71995.0
Denmark,DNK,5683483.0,5728010.0,5764980.0,5793636.0,5814422.0,5831404.0
Dominican Republic,DOM,10405832.0,10527592.0,10647244.0,10765531.0,10881882.0,10999664.0
Algeria,DZA,39543154.0,40339329.0,41136546.0,41927007.0,42705368.0,43451666.0
East Asia & Pacific (excluding high income),EAP,2049740052.0,2065155186.0,2080901482.0,2094506990.0,2106374009.0,2116360715.0
Early-demographic dividend,EAR,3165214886.0,3208369547.0,3250752755.0,3292896609.0,3334561751.0,3374383528.0
East Asia & Pacific,EAS,2294507020.0,2310721864.0,2327132966.0,2341383691.0,2353856866.0,2363934334.0
Europe & Central Asia (excluding high income),ECA,238848390.0,240976831.0,243006453.0,245052675.0,247195931.0,248913167.0
Europe & Central Asia,ECS,907094808.0,911173722.0,914748588.0,918181600.0,921212388.0,923384672.0
Ecuador,ECU,16195902.0,16439585.0,16696944.0,17015672.0,17343740.0,17588595.0
"Egypt, Arab Rep.",EGY,97723799.0,99784030.0,101789386.0,103740765.0,105618671.0,107465134.0
Euro area,EMU,343718279.0,344683796.0,345370612.0,346153001.0,346517987.0,346961127.0
Eritrea,ERI,3340006.0,3365287.0,3396933.0,3445374.0,3498818.0,3555868.0
Spain,ESP,46444832.0,46484062.0,46593236.0,46797754.0,47134837.0,47365655.0
Estonia,EST,1315407.0,1315790.0,1317384.0,1321977.0,1326898.0,1329522.0
Ethiopia,ETH,102471895.0,105293228.0,108197950.0,111129438.0,114120594.0,117190911.0
European Union,EUU,444570054.0,445515422.0,446215182.0,447001100.0,447367191.0,447692315.0
Fragile and conflict affected situations,FCS,876449625.0,896306261.0,916477490.0,936789597.0,957873862.0,979839336.0
Finland,FIN,5479531.0,5495303.0,5508214.0,5515525.0,5521606.0,5529543.0
Fiji,FJI,917200.0,918371.0,919019.0,918996.0,918465.0,920422.0
France,FRA,66548272.0,66724104.0,66918020.0,67158348.0,67388001.0,67571107.0
Faroe Islands,FRO,48816.0,49500.0,50230.0,50955.0,51681.0,52415.0
"Micronesia, Fed. Sts.",FSM,109462.0,109925.0,110430.0,110929.0,111379.0,112106.0
Gabon,GAB,2028517.0,2086206.0,2140215.0,2192012.0,2242785.0,2292573.0
United Kingdom,GBR,65116219.0,65611593.0,66058859.0,66460344.0,66836327.0,67081234.0
Georgia,GEO,3725276.0,3727505.0,3728004.0,3726549.0,3720161.0,3722716.0
Ghana,GHA,28870939.0,29554303.0,30222262.0,30870641.0,31522290.0,32180401.0
Gibraltar,GIB,32520.0,32565.0,32602.0,32648.0,32685.0,32709.0
Guinea,GIN,11625998.0,11930985.0,12240789.0,12554864.0,12877539.0,13205153.0
"Gambia, The",GMB,2253133.0,2317206.0,2381182.0,2444916.0,2508883.0,2573995.0
Guinea-Bissau,GNB,1788919.0,1834552.0,1879826.0,1924955.0,1970457.0,2015828.0
Equatorial Guinea,GNQ,1346973.0,1398927.0,1450694.0,1502091.0,1553031.0,1596049.0
Greece,GRC,10820883.0,10775971.0,10754679.0,10732882.0,10721582.0,10698599.0
Grenada,GRD,118980.0,119966.0,120921.0,121838.0,122724.0,123663.0
Greenland,GRL,56114.0,56186.0,56172.0,56023.0,56225.0,56367.0
Guatemala,GTM,15567419.0,15827690.0,16087418.0,16346950.0,16604026.0,16858333.0
Guam,GUM,167978.0,168346.0,168606.0,168678.0,168624.0,169231.0
Guyana,GUY,755031.0,759087.0,763252.0,785514.0,798753.0,797202.0
High income,HIC,1364282269.0,1371516373.0,1377929189.0,1383955367.0,1389172209.0,1393950970.0
"Hong Kong SAR, China",HKG,7291300.0,7336600.0,7393200.0,7452600.0,7507900.0,7481000.0
Honduras,HND,9294505.0,9460798.0,9626842.0,9792850.0,9958829.0,10121763.0
Heavily indebted poor countries (HIPC),HPC,727129254.0,748356635.0,770390212.0,792615894.0,815100831.0,838066650.0
Croatia,HRV,4203604.0,4174349.0,4124531.0,4087843.0,4065253.0,4047680.0
Haiti,HTI,10563757.0,10713849.0,10863543.0,11012421.0,11160438.0,11306801.0
Hungary,HUN,9843028.0,9814023.0,9787966.0,9775564.0,9771141.0,9750149.0
IBRD only,IBD,4662836842.0,4708313438.0,4752675645.0,4794094269.0,4832585266.0,4866828116.0
IDA & IBRD total,IBT,6240908648.0,6320624467.0,6400602851.0,6478776303.0,6555193386.0,6628629499.0
IDA total,IDA,1578071806.0,1612311029.0,1647927206.0,1684682034.0,1722608120.0,1761801383.0
IDA blend,IDB,528669692.0,538868249.0,549511044.0,560698093.0,572192040.0,584212703.0
Indonesia,IDN,259091970.0,261850182.0,264498852.0,267066843.0,269582878.0,271857970.0
IDA only,IDX,1049402114.0,1073442780.0,1098416162.0,1123983941.0,1150416080.0,1177588680.0
Isle of Man,IMN,83593.0,83450.0,83580.0,83775.0,83933.0,84046.0
India,IND,1322866505.0,1338636340.0,1354195680.0,1369003306.0,1383112050.0,1396387127.0
Not classified,INX,,,,,,
Ireland,IRL,4701957.0,4755335.0,4807388.0,4867316.0,4934340.0,4985382.0
"Iran, Islamic Rep.",IRN,81790841.0,83306231.0,84505076.0,85617562.0,86564202.0,87290193.0
Iraq,IRQ,37757813.0,38697943.0,39621162.0,40590700.0,41563520.0,42556984.0
Iceland,ISL,330815.0,335439.0,343400.0,352721.0,360563.0,366463.0
Israel,ISR,8380100.0,8546000.0,8713300.0,8882800.0,9054000.0,9215100.0
Italy,ITA,60730582.0,60627498.0,60536709.0,60421760.0,59729081.0,59438851.0
Jamaica,JAM,2794445.0,2802695.0,2808376.0,2811835.0,2813773.0,2820436.0
Jordan,JOR,9494246.0,9964656.0,10215381.0,10459865.0,10698683.0,10928721.0
Japan,JPN,127141000.0,127076000.0,126972000.0,126811000.0,126633000.0,126261000.0
Kazakhstan,KAZ,17542806.0,17794055.0,18037776.0,18276452.0,18513673.0,18755666.0
Kenya,KEN,46851488.0,47894670.0,48948137.0,49953304.0,50951450.0,51985780.0
Kyrgyz Republic,KGZ,5956900.0,6079500.0,6198200.0,6322800.0,6456200.0,6579900.0
Cambodia,KHM,15417523.0,15624584.0,15830689.0,16025238.0,16207746.0,16396860.0
Kiribati,KIR,116707.0,118513.0,120362.0,122261.0,124241.0,126463.0
St. Kitts and Nevis,KNA,47790.0,47788.0,47785.0,47761.0,47712.0,47642.0
"Korea, Rep.",KOR,51014947.0,51217803.0,51361911.0,51585058.0,51764822.0,51836239.0
Kuwait,KWT,3908743.0,4048085.0,4124904.0,4317185.0,4441100.0,4360444.0
Latin America & Caribbean (excluding high income),LAC,558562792.0,564377885.0,570381211.0,576620516.0,582701622.0,588011178.0
Lao PDR,LAO,6787419.0,6891363.0,6997917.0,7105006.0,7212053.0,7319399.0
Lebanon,LBN,6398940.0,6258619.0,6109252.0,5950839.0,5781907.0,5662923.0
Liberia,LBR,4612329.0,4706097.0,4796631.0,4889391.0,4985289.0,5087584.0
Libya,LBY,6192235.0,6282196.0,6378261.0,6477793.0,6569088.0,6653942.0
St. Lucia,LCA,175623.0,176413.0,177163.0,177888.0,178583.0,179237.0
Latin America & Caribbean,LCN,621390109.0,627667493.0,633795231.0,639626265.0,645293844.0,650533026.0
Least developed countries: UN classification,LDC,951184941.0,974516186.0,998532743.0,1022731692.0,1047426093.0,1072970944.0
Low income,LIC,582173028.0,597683499.0,613946858.0,630865826.0,648755452.0,667053670.0
Liechtenstein,LIE,37355.0,37609.0,37889.0,38181.0,38482.0,38756.0
Sri Lanka,LKA,21336697.0,21425494.0,21506813.0,21670000.0,21803000.0,21919000.0
Lower middle income,LMC,2737695800.0,2779326476.0,2821058566.0,2862391122.0,2903108878.0,2943860780.0
Low & middle income,LMY,6009439133.0,6088698400.0,6168617518.0,6247396829.0,6324580903.0,6398830423.0
Lesotho,LSO,2118521.0,2143872.0,2170617.0,2198017.0,2225702.0,2254100.0
Late-demographic dividend,LTE,2258792292.0,2272847109.0,2287248399.0,2299720675.0,2310338402.0,2318233156.0
Lithuania,LTU,2904910.0,2868231.0,2828403.0,2801543.0,2794137.0,2794885.0
Luxembourg,LUX,569604.0,582014.0,596336.0,607950.0,620001.0,630419.0
Latvia,LVA,1977527.0,1959537.0,1942248.0,1927174.0,1913822.0,1900449.0
"Macao SAR, China",MAC,615239.0,626688.0,638609.0,650991.0,663653.0,676283.0
St. Martin (French part),MAF,35020.0,34811.0,34496.0,33852.0,33121.0,32553.0
Morocco,MAR,34680458.0,35107264.0,35528115.0,35927511.0,36304408.0,36688772.0
Monaco,MCO,36760.0,37071.0,37044.0,37029.0,37034.0,36922.0
Moldova,MDA,2835978.0,2803186.0,2755189.0,2707203.0,2664224.0,2635130.0
Madagascar,MDG,24850912.0,25501941.0,26169542.0,26846541.0,27533134.0,28225177.0
Maldives,MDV,435582.0,454252.0,472442.0,489758.0,504508.0,514438.0
Middle East & North Africa,MEA,440506473.0,448917409.0,456885486.0,465073490.0,473201775.0,479966649.0
Mexico,MEX,120149897.0,121519221.0,122839258.0,124013861.0,125085311.0,125998302.0
Marshall Islands,MHL,49410.0,48329.0,47187.0,45989.0,44728.0,43413.0
Middle income,MIC,5427266105.0,5491014901.0,5554670660.0,5616531003.0,5675825451.0,5731776753.0
North Macedonia,MKD,1912430.0,1906313.0,1898657.0,1889051.0,1876262.0,1856124.0
Mali,MLI,18112907.0,18700106.0,19311355.0,19934298.0,20567424.0,21224040.0
Malta,MLT,445053.0,455356.0,467999.0,484630.0,504062.0,515332.0
Myanmar,MMR,51483949.0,51892349.0,52288341.0,52666014.0,53040212.0,53423198.0
Middle East & North Africa (excluding high income),MNA,378137339.0,385054538.0,391607422.0,398375344.0,405259403.0,411810124.0
Montenegro,MNE,622159.0,622303.0,622373.0,622227.0,622028.0,621306.0
Mongolia,MNG,2964749.0,3029555.0,3096030.0,3163991.0,3232430.0,3294335.0
Northern Mariana Islands,MNP,51514.0,51133.0,50729.0,50304.0,49858.0,49587.0
Mozambique,MOZ,26843246.0,27696493.0,28569441.0,29423878.0,30285595.0,31178239.0
Mauritania,MRT,3946220.0,4051890.0,4160015.0,4270712.0,4383849.0,4498604.0
Mauritius,MUS,1262879.0,1263747.0,1264887.0,1265577.0,1265985.0,1266014.0
Malawi,MWI,16938942.0,17405624.0,17881167.0,18367883.0,18867337.0,19377061.0
Malaysia,MYS,31068833.0,31526418.0,31975806.0,32399271.0,32804020.0,33199993.0
North America,NAC,356508729.0,359247112.0,361731076.0,363974737.0,366012359.0,369619464.0
Namibia,NAM,2282704.0,2323352.0,2364534.0,2405680.0,2446644.0,2489098.0
New Caledonia,NCL,269460.0,270220.0,270810.0,271170.0,271240.0,271080.0
Niger,NER,20128124.0,20921743.0,21737922.0,22577058.0,23443393.0,24333639.0
Nigeria,NGA,183995785.0,188666931.0,193495907.0,198387623.0,203304492.0,208327405.0
Nicaragua,NIC,6298598.0,6389235.0,6480532.0,6572233.0,6663924.0,6755895.0
Netherlands,NLD,16939923.0,17030314.0,17131296.0,17231624.0,17344874.0,17441500.0
Norway,NOR,5188607.0,5234519.0,5276968.0,5311916.0,5347896.0,5379475.0
Nepal,NPL,27610325.0,27861186.0,28183426.0,28506712.0,28832496.0,29348627.0
Nauru,NRU,11185.0,11437.0,11682.0,11924.0,12132.0,12315.0
New Zealand,NZL,4609400.0,4714100.0,4813600.0,4900600.0,4979200.0,5090200.0
OECD members,OED,1330316951.0,1338792226.0,1346867182.0,1354843844.0,1362032167.0,1369502262.0
Oman,OMN,4191776.0,4398070.0,4541854.0,4601157.0,4602768.0,4543399.0
Other small states,OSS,13082531.0,13258300.0,13439650.0,13608679.0,13751038.0,13853034.0
Pakistan,PAK,210969298.0,213524840.0,216379655.0,219731479.0,223293280.0,227196741.0
Panama,PAN,3957099.0,4026336.0,4096063.0,4165255.0,4232532.0,4294396.0
Peru,PER,30711863.0,31132779.0,31605486.0,32203944.0,32824861.0,33304756.0
Philippines,PHL,103031365.0,104875266.0,106738501.0,108568836.0,110380804.0,112190977.0
Palau,PLW,17794.0,17816.0,17837.0,17864.0,17916.0,17972.0
Papua New Guinea,PNG,8682174.0,8899169.0,9114796.0,9329227.0,9542486.0,9749640.0
Poland,POL,37986412.0,37970087.0,37974826.0,37974750.0,37965475.0,37899070.0
Pre-demographic dividend,PRE,856420253.0,880891473.0,905987912.0,931467165.0,957503246.0,984213438.0
Puerto Rico,PRI,3473232.0,3406672.0,3325286.0,3193354.0,3193694.0,3281557.0
"Korea, Dem. People's Rep.",PRK,25258015.0,25389611.0,25516321.0,25638149.0,25755441.0,25867467.0
Portugal,PRT,10358076.0,10325452.0,10300300.0,10283822.0,10286263.0,10297081.0
Paraguay,PRY,6177950.0,6266615.0,6355404.0,6443328.0,6530026.0,6618695.0
West Bank and Gaza,PSE,4270092.0,4367088.0,4454805.0,4569087.0,4685306.0,4803269.0
Pacific island small states,PSS,2431426.0,2457814.0,2484263.0,2510226.0,2536070.0,2566819.0
Post-demographic dividend,PST,1097076319.0,1102054942.0,1106262382.0,1110198958.0,1113410921.0,1117530670.0
French Polynesia,PYF,291787.0,293541.0,295450.0,297606.0,299717.0,301920.0
Qatar,QAT,2414573.0,2595166.0,2711755.0,2766732.0,2807235.0,2760385.0
Romania,ROU,19815616.0,19702267.0,19588715.0,19473970.0,19371648.0,19265250.0
Russian Federation,RUS,144640716.0,145015460.0,145293260.0,145398106.0,145453291.0,145245148.0
Rwanda,RWA,11642959.0,11930899.0,12230339.0,12531808.0,12835028.0,13146362.0
South Asia,SAS,1775545180.0,1797072648.0,1818931519.0,1840534093.0,1861598514.0,1882531620.0
Saudi Arabia,SAU,32749848.0,33416270.0,34193122.0,35018133.0,35827362.0,35997107.0
Sudan,SDN,38171178.0,39377169.0,40679828.0,41999059.0,43232093.0,44440486.0
Senegal,SEN,14356181.0,14751356.0,15157793.0,15574909.0,16000781.0,16436120.0
Singapore,SGP,5535002.0,5607283.0,5612253.0,5638676.0,5703569.0,5685807.0
Solomon Islands,SLB,612660.0,628102.0,643634.0,659249.0,674993.0,691191.0
Sierra Leone,SLE,7314773.0,7493913.0,7677565.0,7861281.0,8046828.0,8233970.0
El Salvador,SLV,6231066.0,6250510.0,6266654.0,6276342.0,6280217.0,6292731.0
San Marino,SMR,33570.0,33834.0,34056.0,34156.0,34178.0,34007.0
Somalia,SOM,13763906.0,14292847.0,14864221.0,15411094.0,15981300.0,16537016.0
Serbia,SRB,7095383.0,7058322.0,7020858.0,6982604.0,6945235.0,6899126.0
Sub-Saharan Africa (excluding high income),SSA,1008605380.0,1036061312.0,1063789431.0,1092307211.0,1121451424.0,1151203619.0
South Sudan,SSD,11194299.0,11066105.0,10658226.0,10395329.0,10447666.0,10606227.0
Sub-Saharan Africa,SSF,1008698799.0,1036155989.0,1063885274.0,1092403973.0,1121549049.0,1151302081.0
Small states,SST,18483937.0,18709361.0,18940564.0,19177011.0,19377482.0,19526038.0
Sao Tome and Principe,STP,201124.0,204632.0,208036.0,211344.0,214599.0,218641.0
Suriname,SUR,575475.0,581453.0,587559.0,593715.0,600301.0,607065.0
Slovak Republic,SVK,5423801.0,5430798.0,5439232.0,5446771.0,5454147.0,5458827.0
Slovenia,SVN,2063531.0,2065042.0,2066388.0,2073894.0,2088385.0,2102419.0
Sweden,SWE,9799186.0,9923085.0,10057698.0,10175214.0,10278887.0,10353442.0
Eswatini,SWZ,1133936.0,1142524.0,1151390.0,1160428.0,1169613.0,1180655.0
Sint Maarten (Dutch part),SXM,38825.0,38992.0,38615.0,38934.0,39648.0,40350.0
Seychelles,SYC,93419.0,94677.0,95843.0,96762.0,97625.0,98462.0
Syrian Arab Republic,SYR,19205178.0,18964252.0,18983373.0,19333463.0,20098251.0,20772595.0
Turks and Caicos Islands,TCA,36538.0,38246.0,39844.0,41487.0,43080.0,44276.0
Chad,TCD,14140274.0,14592585.0,15085884.0,15604210.0,16126866.0,16644701.0
East Asia & Pacific (IDA & IBRD countries),TEA,2024511016.0,2039794828.0,2055414680.0,2068898629.0,2080648616.0,2090523535.0
Europe & Central Asia (IDA & IBRD countries),TEC,452672729.0,454966816.0,457063732.0,459012381.0,461027359.0,462304330.0
Togo,TGO,7473229.0,7661354.0,7852795.0,8046679.0,8243094.0,8442580.0
Thailand,THA,70294397.0,70607037.0,70898202.0,71127802.0,71307763.0,71475664.0
Tajikistan,TJK,8524063.0,8725318.0,8925525.0,9128132.0,9337003.0,9543207.0
Turkmenistan,TKM,5766431.0,5868561.0,5968383.0,6065066.0,6158420.0,6250438.0
Latin America & the Caribbean (IDA & IBRD countries),TLA,605613677.0,611946736.0,618155029.0,624120970.0,629795751.0,634961078.0
Timor-Leste,TLS,1205813.0,1224562.0,1243235.0,1261845.0,1280438.0,1299995.0
Middle East & North Africa (IDA & IBRD countries),TMN,373867247.0,380687450.0,387152617.0,393806257.0,400574097.0,407006855.0
Tonga,TON,106122.0,105707.0,105415.0,105150.0,104951.0,105254.0
South Asia (IDA & IBRD),TSA,1775545180.0,1797072648.0,1818931519.0,1840534093.0,1861598514.0,1882531620.0
Sub-Saharan Africa (IDA & IBRD countries),TSS,1008698799.0,1036155989.0,1063885274.0,1092403973.0,1121549049.0,1151302081.0
Trinidad and Tobago,TTO,1460177.0,1469330.0,1478607.0,1504709.0,1519955.0,1518147.0
Tunisia,TUN,11557779.0,11685667.0,11811443.0,11933041.0,12049314.0,12161723.0
Turkiye,TUR,78218479.0,79277962.0,80312698.0,81407204.0,82579440.0,83384680.0
Tuvalu,TUV,10877.0,10852.0,10828.0,10865.0,10956.0,11069.0
Tanzania,TZA,52542823.0,54401802.0,56267032.0,58090443.0,59872579.0,61704518.0
Uganda,UGA,37477356.0,38748299.0,40127085.0,41515395.0,42949080.0,44404611.0
Ukraine,UKR,45167350.0,45038236.0,44880758.0,44690584.0,44474512.0,44207754.0
Upper middle income,UMC,2689570305.0,2711688425.0,2733612094.0,2754139881.0,2772716573.0,2787915973.0
Uruguay,URY,3402818.0,3413766.0,3422200.0,3427042.0,3428409.0,3429086.0
United States,USA,320738994.0,323071755.0,325122128.0,326838199.0,328329953.0,331526933.0
Uzbekistan,UZB,31298900.0,31847900.0,32388600.0,32956100.0,33580350.0,34232050.0
St. Vincent and the Grenadines,VCT,106482.0,105963.0,105549.0,105281.0,104924.0,104632.0
"Venezuela, RB",VEN,30529716.0,30741464.0,30563433.0,29825653.0,28971683.0,28490453.0
British Virgin Islands,VGB,29366.0,29739.0,30060.0,30335.0,30610.0,30910.0
Virgin Islands (U.S.),VIR,107712.0,107516.0,107281.0,107001.0,106669.0,106290.0
Viet Nam,VNM,92191398.0,93126529.0,94033048.0,94914330.0,95776716.0,96648685.0
Vanuatu,VUT,276438.0,283218.0,290239.0,297298.0,304404.0,311685.0
World,WLD,7404251118.0,7490956237.0,7577110140.0,7661177849.0,7742724795.0,7821271846.0
Samoa,WSM,203571.0,205544.0,207630.0,209701.0,211905.0,214929.0
Kosovo,XKX,1788196.0,1777557.0,1791003.0,1797085.0,1788878.0,1790133.0
"Yemen, Rep.",YEM,28516545.0,29274002.0,30034389.0,30790513.0,31546691.0,32284046.0
South Africa,ZAF,55876504.0,56422274.0,56641209.0,57339635.0,58087055.0,58801927.0
Zambia,ZMB,16248230.0,16767761.0,17298054.0,17835893.0,18380477.0,18927715.0
Zimbabwe,ZWE,14154937.0,14452704.0,14751101.0,15052184.0,15354608.0,15669666.0
